Unit,Time,Setting1,Setting2,Setting3,FanInletTemp,LPCOutletTemp,HPCOutletTemp,LPTOutletTemp,FanInletPres,BypassDuctPres,TotalHPCOutletPres,PhysFanSpeed,PhysCoreSpeed,EnginePresRatio,StaticHPCOutletPres,FuelFlowRatio,CorrFanSpeed,CorrCoreSpeed,BypassRatio,BurnerFuelAirRatio,BleedEnthalpy,DemandFanSpeed,DemandCorrFanSpeed,HPTCoolantBleed,LPTCoolantBleed
77,1,-0.0014,0.0004,100,518.67,642.62,1591.75,1411.32,14.62,21.61,553.71,2388.07,9052.57,1.3,47.55,521.45,2388.1,8126.56,8.4655,0.03,392,2388,100,38.92,23.2762
77,2,-0.0004,0.0004,100,518.67,642.46,1591.88,1406.97,14.62,21.61,553.44,2388.13,9043.86,1.3,47.3,521.67,2388.1,8127.46,8.4789,0.03,392,2388,100,38.88,23.2764
77,3,0.0042,0,100,518.67,641.78,1585.31,1400.54,14.62,21.61,553.67,2388.12,9051.11,1.3,47.39,521.46,2388.09,8125.17,8.435,0.03,394,2388,100,38.82,23.2387
77,4,0.0027,-0.0003,100,518.67,642.71,1592.71,1410.04,14.62,21.61,553.22,2388.13,9050.29,1.3,47.38,521.28,2388.14,8131.03,8.4365,0.03,393,2388,100,38.79,23.4034
77,5,-0.0001,0.0004,100,518.67,642.09,1587.59,1405.8,14.62,21.61,553.73,2388.1,9048.07,1.3,47.56,521.67,2388.11,8130,8.4685,0.03,391,2388,100,38.8,23.3085
77,6,0.0037,0.0001,100,518.67,642.85,1586.86,1405.66,14.62,21.61,553.39,2388.11,9051.76,1.3,47.5,521.45,2388.12,8127.13,8.4695,0.03,392,2388,100,38.83,23.2958
77,7,-0.0003,-0.0001,100,518.67,642.26,1583.78,1417.79,14.62,21.61,553.33,2388.06,9047.15,1.3,47.54,522.18,2388.11,8129.73,8.4786,0.03,393,2388,100,38.85,23.3976
77,8,0.0001,-0,100,518.67,642.4,1587.29,1405.13,14.62,21.61,553.6,2388.11,9045.31,1.3,47.56,522,2388.1,8131.74,8.4239,0.03,393,2388,100,38.93,23.3802
77,9,0.0044,0.0001,100,518.67,642.72,1589.08,1407.47,14.62,21.61,554.43,2388.07,9051.04,1.3,47.53,521.41,2388.1,8128.44,8.4484,0.03,392,2388,100,39.04,23.3733
77,10,0.002,-0.0004,100,518.67,642.83,1584.97,1407.97,14.62,21.61,553.87,2388.06,9044.83,1.3,47.32,520.77,2388.1,8125.32,8.4271,0.03,392,2388,100,38.77,23.355
